INDRA UUID	Belief	PMID	Evidence	API	Subject	Predicate	Object
cf39b25c-ca63-4355-924a-043483d3d5af	0.95	12415117	Mutant brains showed caspase specific poly (ADP-ribose) polymerase cleavage product (85-kDa fragment) in vivo and in vitro, suggesting redundant mechanisms and persistence of caspase mediated cell death.	reach	p(FPLX:Caspase)	directlyIncreases	bp(GO:"GO:0008219")
3f9b72b1-85a2-4895-97fd-f3ee843f4860	0.95	12512601	The minimal doses of leptin that decreased IGF-I- and fetal bovine serum stimulated cell proliferation were 64 and 1 ng/ml, respectively.	reach	p(HGNC:IGF1)	directlyIncreases	bp(GO:"GO:0008283")
623eaef0-1c13-478b-9d18-bb5aecb85570	1.0	12647306	By comparison, IGF-I increased the levels of the phosphorylated forms of ERK-1 and -2, and Akt and PKB.	reach	p(HGNC:IGF1)	directlyIncreases	act(p(FPLX:AKT))
3f9b72b1-85a2-4895-97fd-f3ee843f4860	0.95	12810174	Furthermore, IGF-I administration (10 ng/ml) in vitro significantly increased cell proliferation of the BMOp cells isolated from normally loaded bone, but not that of cells from unloaded bone.	reach	p(HGNC:IGF1)	directlyIncreases	bp(GO:"GO:0008283")
adb6555d-fc3d-46de-a8da-8c557580958a	0.95	12925671	XREF_FIG C demonstrates that, unlike WT IRAK-4, this more truncated form of IRAK-4 also failed to augment endogenous IRAK-1 kinase activity and inhibited endogenous basal and IL-1-induced IRAK-1 activity, although less than observed upon overexpression of pRK7-IRAK4 (M # 1).	reach	p(HGNC:IRAK4)	directlyDecreases	act(p(HGNC:IRAK1))
775f864e-0093-4adc-87f9-d77148273465	1.0	14697248	Reduction of ErbB2 expression in ErbB2 overexpressing SKBR3/IGF-IR cells by using ErbB2 antisense did not have any effect on IGF-I-induced activation of IGF-IR, IRS-1, and AKT (data not shown).	sparser	p(HGNC:IGF1)	directlyIncreases	act(p(HGNC:IRS1))
a260ff4f-5ab3-4b69-9708-a635f62f528d	0.95	14742243	Coverslips of control and TNF-α-activated HUVECs were used as the bottom plates of a parallel flow chamber as described with minor modifications.	sparser	p(HGNC:TNF)	directlyIncreases	act(p(HGNC:SLC7A6))
0c71874f-464d-4378-8f68-7d4af12d3414	0.95	15322075	Together, our findings suggest that CHOP regulates ER stress induced apoptosis, at least in part, through enhancing DR5 expression in some types of human cancer cells.	reach	p(HGNC:ESR1)	directlyIncreases	bp(GO:"GO:0006915")
775f864e-0093-4adc-87f9-d77148273465	1.0	15576984	This seminar summarize the involvements of a key molecule of adipocytic differentiation PPAR-gamma, essential IGF-I signaling molecules IRS-1 and IRS-2, and an anti-aging gene klotho in the pathophysiology of age related osteoporosis.	reach	p(HGNC:IGF1)	directlyIncreases	act(p(HGNC:IRS1))
7a204913-3db0-486e-bf55-7cc3a7fcc489	0.98	15578154	However, the mechanisms underlying SOCS-3 inhibition of IL-1beta signalling and prevention against apoptosis remain unknown.	reach	p(HGNC:SOCS3)	directlyDecreases	act(p(HGNC:IL1B))
78d8d903-7ff1-4f78-8807-c9688954a60b	0.95	15630138	Biochemical assays indicate that Spred-1 suppresses IL-5-dependent cell proliferation and ERK activation.	reach	p(HGNC:SPRED1)	directlyDecreases	act(p(FPLX:ERK))
78d8d903-7ff1-4f78-8807-c9688954a60b	0.95	15630138	Like Sproutys, Spred-1, Spred-2, and Spred-3 also down-regulate Ras and ERK signaling.	reach	p(HGNC:SPRED1)	directlyDecreases	act(p(FPLX:ERK))
efc0f64c-a37a-4cf4-9c89-049ff1b9d7ad	0.95	15642743	An interesting problem arises from the fact that p38 MAPK activation is a frequent stress response, which normally does not lead to cell death.	reach	bp(GO:"GO:0006950")	directlyIncreases	bp(GO:"GO:0008219")
018c50fb-d378-418b-b20c-0301870c00ab	0.95	15813958	Nerve growth factor inducible B (NGFIB) (also known as Nur77) is a transcription factor that is rapidly induced by NGF [XREF_BIBR].	reach	p(HGNC:NGF)	directlyIncreases	bp(GO:"GO:0006351")
775f864e-0093-4adc-87f9-d77148273465	1.0	16166225	Immunoblotting revealed that methyl-cyclodextrin had no effect on IGF-I-induced activation of the IGF-IR or insulin receptor substrate 1 but increased and decreased the phosphorylation of MAPK and protein kinase B, respectively.	sparser	p(HGNC:IGF1)	directlyIncreases	act(p(HGNC:IRS1))
623eaef0-1c13-478b-9d18-bb5aecb85570	1.0	16373405	These results suggest that IGF-I may activate Akt via PI3K in human endometrium and decidua.	sparser	p(HGNC:IGF1)	directlyIncreases	act(p(FPLX:AKT))
51dd5a26-38f6-4ed6-816a-35ab60dc1fd3	1.0	16507160	Tollip inhibits Irak signaling by targeting it for ubiquitination [XREF_BIBR].	reach	p(HGNC:TOLLIP)	directlyDecreases	act(p(HGNC:IRAK1))
623eaef0-1c13-478b-9d18-bb5aecb85570	1.0	16684509	To further examine the utility of IGF-F1-1 as an IGF-1 antagonist we tested its ability to inhibit IGFBP-2 and IGFBP-3 binding to IGF-1, (125)I-IGF-1 binding to IGF-1Rs and to block IGF-1 induced Akt activation, cell cycle changes and [(3)H]thymidine incorporation in MCF-7 cells.	sparser	p(HGNC:IGF1)	directlyIncreases	act(p(FPLX:AKT))
4d0054ac-5799-4ccf-9361-26f88691d77a	0.95	17200689	In summary, we have demonstrated that IGF-1 stimulates Akt and GSK-3beta pathway leading to CREB phsophorylation and CRE binding activity in glomerular mesangial cells.	reach	p(HGNC:IGF1)	directlyIncreases	act(p(HGNC:GSK3B))
716cc167-a897-4a68-acd0-4134b89a2790	0.95	17217928	Compared with control subjects, thapsigargin- and tunicamycin induced increases in XBP1 and CHOP but not GRP78 messenger RNA levels were significantly lower in BD-I patients.	reach	p(HGNC:HSPA5)	directlyIncreases	act(p(HGNC:DDIT3))
72000a1a-331a-4cd0-b932-fc0dac5bb4d9	0.95	17255561	NF-kappaB activation in the neonatal lung is antiinflammatory, protecting against LPS mediated lung inflammation by repressing similar inflammatory genes induced in the adult.	reach	p(FPLX:NFkappaB)	directlyIncreases	bp(GO:"GO:0006954")
a260ff4f-5ab3-4b69-9708-a635f62f528d	0.95	17541274	On the other hand, the levels of eosinophils accumulating on TNF-alpha-activated HUVECs were the same at all time points (1, 3, 6, 18 and 24 h).	sparser	p(HGNC:TNF)	directlyIncreases	act(p(HGNC:SLC7A6))
fd8191a7-4762-4760-82ee-85b1429564a8	0.95	17804721	Indeed, suppression of CHOP protein levels with small hairpin RNA reduced cell death.	reach	p(HGNC:DDIT3)	directlyIncreases	bp(GO:"GO:0008219")
775f864e-0093-4adc-87f9-d77148273465	1.0	17823215	In intestinal epithelial cells, IRS-1 was expressed at higher levels than IRS-2 and was preferentially activated by IGF-I. In contrast, IGF-I activated both IRS-1 and IRS-2 in intestinal myofibroblasts and IRS-2 activation was upregulated in IRS-1-null myofibroblasts.	sparser	p(HGNC:IGF1)	directlyIncreases	act(p(HGNC:IRS1))
efc0f64c-a37a-4cf4-9c89-049ff1b9d7ad	0.95	17875675	In these studies, we only provide evidence for the effect of XBP-1 deficiency on cell death induced by the ER stress response; future studies will aim to examine other forms of DC survival and death.	reach	bp(GO:"GO:0006950")	directlyIncreases	bp(GO:"GO:0008219")
716cc167-a897-4a68-acd0-4134b89a2790	0.95	17942911	Knockdown of GRP78 in glioblastoma cell lines induces CHOP and activates caspase-7 in temozolomide treated cells.	reach	p(HGNC:HSPA5)	directlyIncreases	act(p(HGNC:DDIT3))
0755e65a-7681-44e8-a0af-ce15e55fe046	0.99	17999938	NGF stimulation also resulted in detectable activation of FAK, Akt and MAPK by 10 min.	reach	p(HGNC:NGF)	directlyIncreases	act(p(FPLX:ERK))
1f42ee8f-af93-46eb-a92b-4ababffef749	1.0	18076874	When the cardiomyocytes were incubated in the presence of 10 microM tanshinone VI, IGF-1- and endothelin-1-induced increases in pERK, but not pAkt, were partially attenuated.	reach	p(HGNC:IGF1)	directlyIncreases	act(p(FPLX:ERK, pmod(Ph)))
adb6555d-fc3d-46de-a8da-8c557580958a	0.95	18079163	These results suggested that the expression of IRAK-4 alone is sufficient to cause the degradation of IRAK-1; the autophosphorylation of IRAK-1 is not necessary to terminate the TLR induced activation of NF-kappaB.	reach	p(HGNC:IRAK4)	directlyDecreases	act(p(HGNC:IRAK1))
ee10d13e-6b36-4b84-9925-ef650bd004dd	0.95	18174271	In WT livers, BDL induced overexpression of CHOP and Bax, a downstream target in the CHOP mediated ER stress pathway.	reach	p(HGNC:DDIT3)	directlyIncreases	act(p(HGNC:ESR1))
69c67fc7-405a-40da-a682-44605602a364	0.95	18458112	Accordingly, forced expression of ATF4 was sufficient to promote cell death and loss of glutathione.	reach	p(HGNC:ATF4)	directlyIncreases	bp(GO:"GO:0008219")
0755e65a-7681-44e8-a0af-ce15e55fe046	0.99	18469341	U0126 is known to block NGF-induced activation of ERK1/2 in PC12 cells ( xref ).	sparser	p(HGNC:NGF)	directlyIncreases	act(p(FPLX:ERK))
697a8013-0350-4626-a5db-6228b907506c	0.99	18575606	This suggests that the major effect of X11L overexpression is the γ-secretase independent inhibition of AICD.	sparser	p(HGNC:APP)	directlyDecreases	act(p(HGNC:APP))
840e5f0e-ec8e-4eb9-81cb-b619edb48caf	0.95	18761401	Using stable alpha-syn-expressing N27 cell lines, we first developed a PI mediated neurotoxic model of PD and tested it in terms of cell viability and GSH metabolism.	reach	p(FPLX:PI3K)	directlyIncreases	bp(MESH:D010300)
cd9dc75f-8113-49b7-aa3f-3b9d97c729dc	0.98	18789402	Furthermore, Akt and NF-kappaB inhibitors also reverses the apoptosis resistance, accordingly, Akt constitutive activation rescues NF-kappaB activation and Bcl-xL expression in rapamycin pretreated colon cancer cells, suggesting Akt disruption is critical to the process.	reach	p(FPLX:AKT)	directlyIncreases	act(p(FPLX:NFkappaB))
efc0f64c-a37a-4cf4-9c89-049ff1b9d7ad	0.95	18852129	These data suggest that abrogation of stress response induction by MEL may cause added cell death when it is combined with GA..	reach	bp(GO:"GO:0006950")	directlyIncreases	bp(GO:"GO:0008219")
92e92d63-67d0-44fc-8cf2-8c751ef82a11	1.0	18854169	AICD-mediated transcriptional activation may be a positive feedback mechanism to increase Aβ generation and hyperphosphorylated tau generation, since BACE and GSK-3β are capable of generating Aβ from [MISSING/INVALID API KEY: limited to 200 char for Elsevier]	sparser	p(HGNC:APP)	directlyIncreases	p(HGNC:MAPT, pmod(Ph))
fa2d0182-7d30-4f39-864f-7cd17a0eb20b	0.98	18948188	For example, a possible pathogenic pathway of Alzheimer 's disease may be ROS mediated down-regulation of BiP, since BiP can prevent the buildup of amyloid-beta plaques.	reach	p(HGNC:ROS1)	directlyIncreases	act(p(HGNC:HSPA5))
cd9dc75f-8113-49b7-aa3f-3b9d97c729dc	0.98	19049803	These results indicated that insulin regulated P-glycoprotein function and expression through signal transduction pathways involving activation of PKC and NF-kappaB but not PI3K and Akt pathway.	reach	p(FPLX:AKT)	directlyIncreases	act(p(FPLX:NFkappaB))
3f9b72b1-85a2-4895-97fd-f3ee843f4860	0.95	19105244	Following treatment of INS-1 cells for 24 hrs with 50 ng/ml IGF-I or 20 ng/ml betacellulin, IGF-I and betacellulin enhanced INS-1 cell proliferation as reflected by a greater than 2-fold increase in the percentage of BrdU + cells in IGF-I- and betacellulin treated vs. control cells.	reach	p(HGNC:IGF1)	directlyIncreases	bp(GO:"GO:0008283")
51e70dc9-716d-467e-962f-eaf8aaa06ff0	0.95	19183502	High constitutive NF-kappaB activity mediates resistance to oxidative stress in neuronal cells [XREF_BIBR] and, agents that inhibit NF-kappaB activation induced apoptosis in response to several neurotoxins [XREF_BIBR - XREF_BIBR].	reach	p(FPLX:NFkappaB)	directlyIncreases	bp(GO:"GO:0006915")
c071ed43-4f92-4778-ada7-ec6542768122	0.95	19241442	In ER stress induced apoptosis, GADD153 is activated by ROS and dimerizes with other C/EBP family members to exercise its function.	reach	p(HGNC:ROS1)	directlyIncreases	act(p(HGNC:DDIT3))
fd8191a7-4762-4760-82ee-85b1429564a8	0.95	19243235	In particular, while short term induction of CHOP is an important element of the protective UPR, prolonged expression of CHOP can lead to cell death.	reach	p(HGNC:DDIT3)	directlyIncreases	bp(GO:"GO:0008219")
ee10d13e-6b36-4b84-9925-ef650bd004dd	0.95	19329340	The presence of CHOP and subsequently GADD34 lead to dephosphorylation of eIF2alpha, increased protein synthesis and greater ER stress in these neurons.	reach	p(HGNC:DDIT3)	directlyIncreases	act(p(HGNC:ESR1))
623eaef0-1c13-478b-9d18-bb5aecb85570	1.0	19382214	Moreover, we show that activation of Akt by IGF-I occurs in CEMs, providing support for the hypothesis that these molecules associate functionally in these domains.	reach	p(HGNC:IGF1)	directlyIncreases	act(p(FPLX:AKT))
c97a3b8b-eddb-4255-8abf-e28ef34d4cf0	0.99	19384426	The p110delta isoform constitutively activated the Akt signaling pathway, but p110gamma activated Akt only in the presence of serum [XREF_BIBR].	reach	p(HGNC:PIK3CG)	directlyIncreases	act(p(FPLX:AKT))
c97a3b8b-eddb-4255-8abf-e28ef34d4cf0	0.99	19384426	The p110δ isoform constitutively activated the Akt signaling pathway, but p110γ activated Akt only in the presence of serum [ xref ].	sparser	p(HGNC:PIK3CG)	directlyIncreases	act(p(FPLX:AKT))
cf39b25c-ca63-4355-924a-043483d3d5af	0.95	19490089	Growth hormone releasing peptide 6 partially reversed glutamate induced cell death but not the activation of caspases, suggesting blockage of the caspase independent cell death pathway, which included interference with the translocation of apoptosis inducing factor to the nucleus associated with the induction of Bcl-2.	reach	p(FPLX:Caspase)	directlyIncreases	bp(GO:"GO:0008219")
06bd0dfa-24ce-4570-91f4-feea991b6ca4	0.95	19643666	SOCS3 might partially mediate this effect by suppressing STAT3 activation and blocking IL-6 and IL-23 induction [XREF_BIBR].	reach	p(HGNC:SOCS3)	directlyDecreases	act(p(HGNC:IL6))
a6f8e61d-9758-4de0-ad6e-9ae0e93491f0	0.95	19645497	There is in fact, another side to macrophage functioning : suppression of inflammation and wound repair.	reach	p(PFAM:PF12252)	directlyDecreases	bp(GO:"GO:0006954")
eee57673-9e37-4cd5-8c8c-6989f2ab5af5	0.95	19736567	Furthermore, p28 (GANK) upregulates glucose regulated protein 78 (GRP78), a key ER chaperone protein, which subsequently enhances the ER folding capacity and promotes recovery from ER stress.	reach	p(HGNC:HSPA5)	directlyIncreases	act(p(HGNC:ESR1))
775f864e-0093-4adc-87f9-d77148273465	1.0	19744489	In this case, IGF-1 selectively activates IRS-2 and the PI3K pathway but not the IRS-1 and ERK pathway.	reach	p(HGNC:IGF1)	directlyIncreases	act(p(HGNC:IRS1))
e097dc81-706a-4ccd-9e57-d535f600f989	0.95	19752148	However, there was little change in insulin induced P-Akt (S473) in triceps following trauma and hemorrhage from 3-week old rats (XREF_FIG).	reach	p(HGNC:INS)	directlyIncreases	act(p(UP:P54644))
d58da677-6b7d-40bc-a7ba-083b03da81a7	0.99	19780047	These FFA also decreased Akt activation by insulin.	sparser	p(HGNC:INS)	directlyIncreases	act(p(FPLX:AKT))
1f42ee8f-af93-46eb-a92b-4ababffef749	1.0	19815064	As a positive control, IGF-1 at 10 ng/ml strongly enhanced the green staining of the phosphorylated MAPK (i and l).	reach	p(HGNC:IGF1)	directlyIncreases	act(p(FPLX:ERK, pmod(Ph)))
0221e1d5-71ae-4d51-851d-85133aab51d9	0.95	19846873	TRIF -/- mice infected with Kp showed impaired survival and reduced bacterial clearance, neutrophil influx, histopathologic evidence of inflammation, and TNF-alpha, IL-6, KC, MIP-2, but not LIX, expression in the lungs.	reach	p(HGNC:TICAM1)	directlyDecreases	bp(GO:"GO:0006954")
d58da677-6b7d-40bc-a7ba-083b03da81a7	0.99	19933999	Therefore, we investigated whether exposing L6 myotubes to SR141716 would abrogate the effects of CB1 activation on insulin stimulated PKB and ERK1/2 activation.	reach	p(HGNC:INS)	directlyIncreases	act(p(FPLX:AKT))
78d8d903-7ff1-4f78-8807-c9688954a60b	0.95	19956540	A novel gene Spred-1 (Sproutyrelated Ena and VASP homology 1-domain-containing protein-1) is involved in the inhibition of the Ras/Raf-1/ERK pathway impairing the growth-factor-mediated activation of ERK1/2 kinases XREF_BIBR.	reach	p(HGNC:SPRED1)	directlyDecreases	act(p(FPLX:ERK))
78d8d903-7ff1-4f78-8807-c9688954a60b	0.95	20014119	SPRED1 negatively regulates the Ras and MAPK signaling pathway at the Ras-Raf interface.	reach	p(HGNC:SPRED1)	directlyDecreases	act(p(FPLX:ERK))
12fc128d-91e3-4acd-985a-ebb192b3a6e2	0.99	20046508	XREF_BIBR Otherwise, MD-2 is essential for signaling of TLR4.	reach	p(HGNC:LY96)	directlyIncreases	act(p(HGNC:TLR4))
46ccb254-c30d-42d1-891d-17303d643d21	1.0	20050848	FLX-induced increase in mitochondrial Bax levels, decrease in cytosolic Bid and Bcl-2 levels, loss of the mitochondrial transmembrane potential, cytochrome c release, caspase-3 activation and up-regulation of p53.	sparser	p(HGNC:CASP3)	directlyIncreases	act(p(HGNC:TP53))
716cc167-a897-4a68-acd0-4134b89a2790	0.95	20070977	The expression of macrophage glucose response protein 78 (GRP78), X-box binding protein 1 (XBP1), activating transcription factor 6 (ATF6), and C-EBP homologous protein (CHOP) in macrophages was determined.	reach	p(HGNC:HSPA5)	directlyIncreases	act(p(HGNC:DDIT3))
12fc128d-91e3-4acd-985a-ebb192b3a6e2	0.99	20083193	MD2 mediates TLR4 recognition of PAMPs, but CD14 mediates TLR4 recognition of DAMPs released by necrotic cells [XREF_BIBR].	reach	p(HGNC:LY96)	directlyIncreases	act(p(HGNC:TLR4))
e097dc81-706a-4ccd-9e57-d535f600f989	0.95	20093624	eNos-/- mice exhibited increased aortic phospho-IkappaBalpha and ICAM protein levels when fed a LF diet whereas WT mice exhibited increased aortic phospho-IkappaBalpha protein levels and reduced insulin mediated activation of pAkt only when fed the HF diet (XREF_FIG).	reach	p(HGNC:INS)	directlyIncreases	act(p(UP:P54644))
73461c97-a89b-40ad-be13-3d7f30e4ea6f	0.98	20124483	It has been reported that NF-kappaB could be activated by IRAK-1, which is a target of miR-146a.	reach	p(HGNC:IRAK1)	directlyIncreases	act(p(FPLX:NFkappaB))
d58da677-6b7d-40bc-a7ba-083b03da81a7	0.99	20153328	However, mitochondrial displacement of HK II induced cell death also after insulin-dependent Akt activation or in cells lacking VDAC1 and 3 (and without detectable binding between HK II and residual VDAC2) [ xref ], and even in the absence of Bax and Bak [ xref ] (also discussed in [ xref ]).	sparser	p(HGNC:INS)	directlyIncreases	act(p(FPLX:AKT))
40d279b2-9c40-483b-8e4e-106c763ded54	0.99	20179151	NMD targeted transcripts include ATF-4 and the ATF-4 targets CHOP (gadd153) and ATF-3.	reach	p(HGNC:ATF4)	directlyIncreases	act(p(HGNC:DDIT3))
c97a3b8b-eddb-4255-8abf-e28ef34d4cf0	0.99	20179753	Thus, PI3Kgamma -/- mice fail to activate AKT and ERK1/2 immediately following M I/R injury, and this lack of activation can be localized to the area at risk.	reach	p(HGNC:PIK3CG)	directlyIncreases	act(p(FPLX:AKT))
fd8191a7-4762-4760-82ee-85b1429564a8	0.95	20209087	Persistent ER stress induces the expression of the C/EBP homologous protein (CHOP), which initiates the cell death machinery XREF_BIBR.	reach	p(HGNC:DDIT3)	directlyIncreases	bp(GO:"GO:0008219")
1f42ee8f-af93-46eb-a92b-4ababffef749	1.0	20371701	IGF-I caused dissociation of pERK from PSF.	reach	p(HGNC:IGF1)	directlyIncreases	act(p(FPLX:ERK, pmod(Ph)))
6549fbd1-6832-4252-9130-823a07ab1a87	0.95	20380815	(2) miR-7, which was shown to suppress alpha-Synuclein in mouse and human neuroblastoma cells.	reach	p(HGNC:"MIR7-1")	directlyDecreases	act(p(HGNC:SNCA))
cf39b25c-ca63-4355-924a-043483d3d5af	0.95	20409278	The N-terminus of some NLR proteins contains a caspase activating and recruitment domain (CARD), which potentially links them to processes of caspase mediated cell death.	reach	p(FPLX:Caspase)	directlyIncreases	bp(GO:"GO:0008219")
16bef0c1-9d04-464f-8639-6c1bf6028f87	1.0	20414356	Pref-1 activates ERK/MAPK and upregulates Sox9 expression to inhibit adipocyte differentiation.	sparser	p(HGNC:DLK1)	directlyIncreases	act(p(FPLX:ERK))
16bef0c1-9d04-464f-8639-6c1bf6028f87	1.0	20414356	Pref-1 activates ERK/MAPK and upregulates Sox9 expression to inhibit adipocyte differentiation.	sparser	p(HGNC:DLK1)	directlyIncreases	act(p(FPLX:ERK))
bdb1c9f1-3aae-4131-9397-3eeaec2e52fc	0.98	20414356	Prevention of this second ERK phosphorylation by use of the MAPK/ERK kinase (MEK) inhibitor PD98059 or siRNA-mediated knockdown of ERK enhances adipocyte differentiation, indicating that Pref-1 activation of MEK–ERK is required for Pref-1 inhibition of adipogenesis.	sparser	p(HGNC:DLK1)	directlyIncreases	act(p(FPLX:MEK))
840e5f0e-ec8e-4eb9-81cb-b619edb48caf	0.95	20471698	In contrast, PI3K activation enhances the neuroprotective effects of GDNF against H 2 O 2 -induced neuronal death in PD cybrids.	reach	p(FPLX:PI3K)	directlyIncreases	bp(MESH:D010300)
840e5f0e-ec8e-4eb9-81cb-b619edb48caf	0.95	20471698	On the other hand, the inhibition of phosphoinositide 3-kinase (PI3K) blocked GDNF mediated neuronal protection in the 6-OHDA-induced PD model.	reach	p(FPLX:PI3K)	directlyIncreases	bp(MESH:D010300)
eee57673-9e37-4cd5-8c8c-6989f2ab5af5	0.95	20501829	Under conditions of ER stress, BiP and GRP78 increases the load of ER client proteins, whereas loss of BiP and GRP78 binding correlates with oligomerization, trans-autophosphorylation, and activation of downstream signaling by PERK.	reach	p(HGNC:HSPA5)	directlyIncreases	act(p(HGNC:ESR1))
c6d4aeed-e612-44c2-a648-40d5c509b402	0.95	20514433	Many of these mechanisms, and, in particular, NAD + / NADH redox imbalances, accumulation of intracellular Ca 2+, activation of PARP and cyclooxygenase-2 (COX-2), and activation of NF-kappaB and resultant increase in cytokine production and pro inflammatory response, have also been implicated in IR injury.	reach	p(FPLX:NFkappaB)	directlyIncreases	bp(GO:"GO:0001816")
c071ed43-4f92-4778-ada7-ec6542768122	0.95	20559423	Moreover, inhibition of ROS and p38 MAPK reduced the level of GADD153 activation and caspase-3 activity of the cell.	reach	p(HGNC:ROS1)	directlyIncreases	act(p(HGNC:DDIT3))
eee57673-9e37-4cd5-8c8c-6989f2ab5af5	0.95	20561923	Cleavage of BiP by SubA induces ER stress, which was demonstrated by activation of double stranded RNA activated protein kinase like ER kinase (PERK) and eukaryotic initiation factor-2alpha (eIF2alpha), leading to transient inhibition of protein synthesis, and induction of CHOP, with cell cycle arrest in G 1 phase as a result of downregulation of cyclin D1 [XREF_BIBR].	reach	p(HGNC:HSPA5)	directlyIncreases	act(p(HGNC:ESR1))
716cc167-a897-4a68-acd0-4134b89a2790	0.95	20561923	We further report that signaling from CHOP, Ire1alpha, or JNK, which were activated by SubAB induced BiP cleavage, did not suppress cytochrome c release by Bax activation, although those mediators were involved in ER stress induced apoptosis in other cell types using different death stimuli [XREF_BIBR, XREF_BIBR].	reach	p(HGNC:HSPA5)	directlyIncreases	act(p(HGNC:DDIT3))
fd8191a7-4762-4760-82ee-85b1429564a8	0.95	20647473	However, persistent proteotoxic stress with unresolved UPR and ER stress results in protracted PERK signaling and CHOP mediated cell death.	reach	p(HGNC:DDIT3)	directlyIncreases	bp(GO:"GO:0008219")
