INDRA UUID	Belief	PMID	Evidence	API	Subject	Predicate	Object	Checked	Correct	Change	annotation
b6a50e19-e2f7-48f2-9738-13afd05cc517	0.86	11828015	TREM2 and DAP12 engagement in DCs leads to upregulation of CCR7, CD40, CD86, and DC survival but not IL-12 nor TNF-alpha production.	reach	p(HGNC:TREM2)	causesNoChange	act(p(HGNC:IL12A))	x		x	
ef2250c7-3da1-4cef-bbcd-8537087a2324	0.95	12925681	Our results demonstrate that DAP12 and TREM2 signaling mediates the differentiation of osteoclasts and that DAP12 and TREM2-deficiency results in an aberrant osteoclast morphology and a severely delayed maturation process in vitro, as indicated by the inefficient fusion and impaired actin ring formation of the immature osteoclasts.	reach	p(HGNC:TREM2)	regulates	bp(GO:0030316)	x		x	
b2e34a3d-6349-4f26-af88-46e25cef7b86	0.95	15728241	Because TREM2 and DAP12 signaling induced ERK phosphorylation in immature dendritic cells, we analyzed phosphorylation of ERK after cross linking stimulation of fTREM2 transduced microglia by Western blotting.	reach	p(HGNC:TREM2)	increases	p(HGNC:MAPK1, pmod(Ph))	x		x	
b2e34a3d-6349-4f26-af88-46e25cef7b86	0.95	15728241	Because TREM2 and DAP12 signaling induced ERK phosphorylation in immature dendritic cells, we analyzed phosphorylation of ERK after cross linking stimulation of fTREM2 transduced microglia by Western blotting.		p(HGNC:TYROBP)	increases	p(HGNC:MAPK1, pmod(Ph))	x		x	
c67e18cd-2b5a-4712-a50b-21e51b48b990	0.65	15728241	Furthermore, expression levels of CD86 and CD36 were unaltered after stimulation of TREM2.	reach	p(HGNC:TREM2)	causesNoChange	act(p(HGNC:CD36))	x		x	
439abfc9-7631-442c-98e3-897965e38f18	0.65	15728241	Furthermore, expression levels of CD86 and CD36 were unaltered after stimulation of TREM2.	reach	p(HGNC:TREM2)	causesNoChange	act(p(HGNC:CD86))	x		x	
c50cdab2-97c0-4055-ba6b-2dc14be24724	0.65	15728241	Gene transcript levels of TGF-beta were not modulated by knockdown or overexpression of TREM2.	reach	p(HGNC:TREM2)	causesNoChange	p(HGNC:TGFB1)	x			
b2e34a3d-6349-4f26-af88-46e25cef7b86	0.95	15728241	"In dendritic cells, TREM2 and DAP12 signaling induced phosphorylation of the extracellular signal regulated kinase (ERK) and promoted up-regulation of the CC chemokine receptor 7 (CCR7; reference 14)."	reach	p(HGNC:TREM2)	increases	p(HGNC:MAPK1, pmod(Ph))	x		x	"SET MESHAnatomy=""Dendritic Cells"""
9e3971c2-8a1d-471b-9edb-7618707f6e85	0.65	15728241	It is associated with the signaling molecule DAP12, and it was suggested that an unknown TREM2 ligand results in the phosphorylation of the immunoreceptor tyrosine based activation motif (ITAM) in the cytoplasmic domain of DAP12.	reach	p(HGNC:TREM2)	increases	p(PFAM:PF02189, pmod(Ph))	x	x		
76ed9055-376c-456e-a546-f2c97076617d	0.92	15728241	Moreover, TREM2 stimulation of immature dendritic cells strongly induced expression of CCR7, a chemokine receptor binding the ligands CCL19 and CCL21.	reach	p(HGNC:TREM2)	increases	p(HGNC:CCR7)	x	x		
cc49a160-5809-4425-969b-b38e223fa840	0.65	15728241	Overexpression of TREM2 in microglia resulted in increased phagocytosis of apoptotic neurons and decreased gene transcription of TNF-alpha, IL-1beta, and NOS2.	reach	p(HGNC:TREM2)	decreases	p(HGNC:IL1B)	x	x		
9ad8a0d3-e009-4331-8585-ea74d541ce41	0.86	15728241	Overexpression of TREM2 in microglia resulted in increased phagocytosis of apoptotic neurons and decreased gene transcription of TNF-alpha, IL-1beta, and NOS2.	reach	p(HGNC:TREM2)	decreases	p(HGNC:NOS2)	x	x		
1d5d9cd7-1f2b-4b33-9a84-4a5c6e9a1888	0.86	15728241	Overexpression of TREM2 in microglia resulted in increased phagocytosis of apoptotic neurons and decreased gene transcription of TNF-alpha, IL-1beta, and NOS2.	reach	p(HGNC:TREM2)	decreases	p(HGNC:TNF)	x	x		
			Overexpression of TREM2 in microglia resulted in increased phagocytosis of apoptotic neurons and decreased gene transcription of TNF-alpha, IL-1beta, and NOS2.		p(HGNC:TREM2)	increases	bp(GO:phagocytosis)	x		x	"SET MESHAnatomy=""Microglia"" , SET MESHDisease=""Nerve Degeneration"" "
b2e34a3d-6349-4f26-af88-46e25cef7b86	0.95	15728241	Stimulation of TREM2 of microglia induced phosphorylation of ERK as demonstrated by a specific antibody recognizing the phosphorylated form of ERK (XREF_FIG C).	reach	p(HGNC:TREM2)	increases	p(HGNC:MAPK1, pmod(Ph))	x		x	"SET MESHAnatomy=""Microglia"""
962be9b1-9e37-4b32-b811-adf217cf7405	0.65	15728241	TREM2 stimulation does not stimulate microglial inflammatory cytokine gene transcription.	reach	p(HGNC:TREM2)	causesNoChange	"bp(GO:""GO:0006351"")"				
			TREM2 stimulation induced DAP12 phosphorylation, extracellular signal regulated kinase phosphorylation, and cytoskeleton reorganization and increased phagocytosis.		p(HGNC:TREM2)	increases	p(HGNC:MAPK1, pmod(Ph))	x		x	
			TREM2 stimulation induced DAP12 phosphorylation, extracellular signal regulated kinase phosphorylation, and cytoskeleton reorganization and increased phagocytosis.		p(HGNC:TREM2)	increases	bp(GO::0031532)	x		x	
			TREM2 stimulation induced DAP12 phosphorylation, extracellular signal regulated kinase phosphorylation, and cytoskeleton reorganization and increased phagocytosis.		p(HGNC:TREM2)	increases	bp(GO:phagocytosis)	x		x	
178ed756-f25c-409b-a369-629feec38be2	0.95	15728241	TREM2 stimulation induced DAP12 phosphorylation, extracellular signal regulated kinase phosphorylation, and cytoskeleton reorganization and increased phagocytosis.	reach	p(HGNC:TREM2)	increases	p(HGNC:TYROBP, pmod(Ph))	x	x		
76ed9055-376c-456e-a546-f2c97076617d	0.92	15728241	These results demonstrate that TREM2 stimulation does not stimulate antigen presentation but up-regulates expression of the chemokine receptor CCR7 and supports chemotaxis towards the corresponding ligands CCL19 and CCL21.	reach	p(HGNC:TREM2)	increases	p(HGNC:CCR7)	x	x		
b2e34a3d-6349-4f26-af88-46e25cef7b86	0.95	15728241	We observed that TREM2 stimulation induced polarization of F-actin and ERK and MAPK phosphorylation, but not phosphatidylinositol 3-kinase (PI3K) signaling (not depicted).	reach	p(HGNC:TREM2)	increases	p(HGNC:MAPK1, pmod(Ph))	x		x	
21da0a19-7b2b-4859-8462-d28960808319	0.65	15728241	We observed that TREM2 stimulation induced polarization of F-actin and ERK and MAPK phosphorylation, but not phosphatidylinositol 3-kinase (PI3K) signaling (not depicted).	reach	p(HGNC:TREM2)	increases	"p(FPLX:""F_actin"", pmod(Ph))"	x	x		
aa08448c-4adb-410e-af53-cd7fdaf6ea5b	0.65	16418779	Monoclonal Ab blockade of TREM2 on OCs generated from C57BL/6 BMMs results in decreased resorption of artificial calcium-phosphate substrate and dentine.	reach	p(HGNC:TREM2)	increases	bp(GO:0045453)	x		x	
fd64546c-7fca-4d02-a42a-05ebc4e95692	0.65	16987426	Although the mRNA levels of RANK, c-fms, DAP12, FcRgamma, TREM-2 and OSCAR increased in response to M-CSF alone or M-CSF + RANKL in both subsets, the expression levels were not significantly different between the two subsets.	reach	act(p(HGNC:CSF1))	increases	act(p(HGNC:TREM2))	x		x	
47ffaf25-3f80-4099-818f-c666985a7e94	0.98	17425404	However, RT-PCR demonstrated gene transcripts of the TREM2 associated signaling molecule DAP12 (XREF_FIG).	reach	p(HGNC:TREM2)	association	act(p(HGNC:TYROBP))	x		x	
e95f50c4-b486-4fc0-87fe-8ec84155d8e8	0.95	17425404	Recently, it has been shown that TREM2 is expressed on macrophages infiltrating CNS tissue from the circulation, and that TREM2 acts to inhibit cytokine production by macrophages in response to several toll like receptor ligands [XREF_BIBR].	reach	p(HGNC:TREM2)	decreases	"bp(GO:""GO:0001816"")"				
993c9de0-5871-4fa8-a442-2c3ebd2b928a	0.95	17425404	Thus, IL-10 produced by the TREM2 transduced myeloid precursor cells during engulfment of myelin debris might favor recovery from EAE.	reach	p(HGNC:TREM2)	increases	act(p(HGNC:IL10))	x	x		
bc3b6a40-c4f2-4b12-b829-a6466ef1a5c5	0.86	18222421	IL-1beta and TNFalpha upregulated TREM-1 and TREM-3 expression and suppressed TREM-2 expression in macrophages and endothelial cells.	reach	p(HGNC:IL1B)	decreases	p(HGNC:TREM2)	x	x		
4a2870f7-f386-4f76-bb46-f9e53a55c4aa	0.86	18222421	IL-1beta and TNFalpha upregulated TREM-1 and TREM-3 expression and suppressed TREM-2 expression in macrophages and endothelial cells.	reach	p(HGNC:TNF)	decreases	p(HGNC:TREM2)	x	x		
4becef95-9414-43d6-aeef-78a87ceef426	0.95	18446208	In mouse macrophages, TREM-2 is induced by IL-4 and is down-regulated by IFN-gamma or LPS XREF_BIBR.	reach	p(HGNC:IL4)	increases	act(p(HGNC:TREM2))	x	x		
9ff68721-549c-4d7d-bd5f-0297f25f4edf	0.65	18446208	In mouse macrophages, TREM-2 is induced by IL-4 and is down-regulated by IFN-gamma or LPS XREF_BIBR.	reach	p(HGNC:IFNG)	decreases	act(p(HGNC:TREM2))	x	x		
e95f50c4-b486-4fc0-87fe-8ec84155d8e8	0.95	18551625	One of these genes is the microglia associated triggering receptor expressed on myeloid cells (TREM2) which enhances phagocytosis, but abrogates cytokine production as well as TLR and Fc receptor mediated induction of TNF secretion.	reach	p(HGNC:TREM2)	decreases	"bp(GO:""GO:0001816"")"				
41128fac-9b34-4f44-a9c9-24b964147d81	0.65	18757139	[XREF_BIBR] The ITAM proteins Dap12 and FcRgamma are stimulated by immunoreceptors TREM-2 and OSCAR, respectively, hence proving themselves crucial in osteoclastogenesis.	reach	p(HGNC:TREM2)	increases	act(p(HGNC:FCER1G))				
5b746236-3118-4b68-bc76-2f093deb2424	0.65	18757139	[XREF_BIBR] The ITAM proteins Dap12 and FcRgamma are stimulated by immunoreceptors TREM-2 and OSCAR, respectively, hence proving themselves crucial in osteoclastogenesis.	reach	p(HGNC:TREM2)	increases	act(p(PFAM:PF02189))				
47ffaf25-3f80-4099-818f-c666985a7e94	0.98	18757139	[XREF_BIBR] The ITAM proteins Dap12 and FcRgamma are stimulated by immunoreceptors TREM-2 and OSCAR, respectively, hence proving themselves crucial in osteoclastogenesis.	reach	p(HGNC:TREM2)	increases	act(p(HGNC:TYROBP))				
f085aba7-61ff-4adc-836a-9c9e70128ac3	0.95	19027044	In addition, ligation of the Ig superfamily member TREM-2 promoted partial DC maturation, specifically the upregulation of the chemokine receptor CCR7 [XREF_BIBR].	reach	p(HGNC:TREM2)	increases	act(p(HGNC:CCR7))				
93ad0b83-e489-4df6-9a9c-4bcf697c7a7c	0.86	19079182	Ligation of TREM-2 by LOS induced interleukin-6 production in HeLa cervical carcinoma cells.	reach	p(HGNC:TREM2)	increases	act(p(HGNC:IL6))				
16411742-7212-4c04-abbd-809a6a9c6367	0.92	19120482	Trem2 mediates the DAP12 dependent suppression of macrophages.	reach	p(HGNC:TREM2)	decreases	act(p(HGNC:TYROBP))				
1156db53-7326-4d9c-a028-32e494cf6725	0.92	19171755	Our results nonetheless indicate that Syk positively regulates TREM-2 function in phagocytosis by CHO cells.	reach	p(HGNC:SYK)	increases	act(p(HGNC:TREM2))				
4becef95-9414-43d6-aeef-78a87ceef426	0.95	19230638	Although DAP12 mutation affects multiple receptors, siRNA knockdown demonstrated that TREM-2, which is induced on macrophages by IL-4 [XREF_BIBR], was the key receptor required for MGC development [XREF_BIBR].	reach	p(HGNC:IL4)	increases	act(p(HGNC:TREM2))				
6ce9198a-743c-49df-b3b8-045759dc104b	0.65	19230638	Moreover, altered TREM-2 signaling in NTAL and LAB -/- macrophages results in cells skewed toward the type II phenotype 7 with reduced TLR induced expression of IL-12p40 and enhanced production of IL-10 (Whittaker et al., unpublished).	reach	p(HGNC:TREM2)	increases	act(p(HGNC:LAT2))				
b0ceabb5-88aa-4731-898b-f867720419e9	0.65	19295630	For example, TREM-2 associates with plexin A receptors and TREM-2-DAP12 signaling is activated by the plexin A1 ligand Semaphorin 6D.	reach	p(IP:IPR027231)	increases	act(p(HGNC:TREM2))				
9ad8a0d3-e009-4331-8585-ea74d541ce41	0.86	19302484	Furthermore, TREM2 expression in microglia impairs TNFalpha and NOS2 transcript expression even as it increases phagocytosis in response to apoptotic neurons.	reach	p(HGNC:TREM2)	decreases	p(HGNC:NOS2)				
1d5d9cd7-1f2b-4b33-9a84-4a5c6e9a1888	0.86	19302484	Furthermore, TREM2 expression in microglia impairs TNFalpha and NOS2 transcript expression even as it increases phagocytosis in response to apoptotic neurons.	reach	p(HGNC:TREM2)	decreases	p(HGNC:TNF)				
0d714fa6-f8d6-4046-911a-56f4f9f7b537	0.95	19625651	Collectively, these results show that TREM-2 mediates rapid calcium signaling, ERK activation and NFATc1 expression downstream of RANK, and that IL-10 inhibits this signaling pathway by downregulating TREM-2 expression.	reach	p(HGNC:IL10)	decreases	p(HGNC:TREM2)				
ad3cda60-bd93-4bb8-897a-aa14c45504b4	0.65	19625651	Consistent with the role of TREM-2 in osteoclastogenesis (XREF_FIG) and with the dependence of NFATc1 expression on ERKs (XREF_FIG), suppression of TREM-2 expression inhibited RANKL mediated induction of NFATc1 (XREF_FIG).	reach	p(HGNC:TREM2)	increases	act(p(HGNC:NFATC1))				
3c1a8ce5-9b09-4b36-98f4-462850e1ca94	0.65	19625651	Consistent with the role of TREM-2 in osteoclastogenesis (XREF_FIG) and with the dependence of NFATc1 expression on ERKs (XREF_FIG), suppression of TREM-2 expression inhibited RANKL mediated induction of NFATc1 (XREF_FIG).	reach	p(HGNC:TREM2)	increases	act(p(HGNC:TNFSF11))				
993c9de0-5871-4fa8-a442-2c3ebd2b928a	0.95	19625651	However, forced expression of TREM-2 was not sufficient to reverse the inhibitory effects of IL-10 on osteoclastogenesis (XREF_FIG), suggesting that IL-10 inhibits additional aspects of the osteoclastogenesis program, possibly the activation or function of NFATc1.	reach	p(HGNC:TREM2)	increases	act(p(HGNC:IL10))				
9bdf30ec-25d0-47f0-9c2e-47ee074fe0a9	0.95	19625651	IL-10 Suppresses Calcium mediated Costimulation of RANK Signaling During Human Osteoclast Differentiation by Inhibiting TREM-2 Expression.	reach	p(HGNC:IL10)	increases	p(HGNC:TREM2)				
9bdf30ec-25d0-47f0-9c2e-47ee074fe0a9	0.95	19625651	IL-10 and other homeostatic cytokines inhibited an early step in human osteoclastogenesis, the generation of RANK + TREM-2 + osteoclast precursors, by inhibiting TREM-2 transcription.	reach	p(HGNC:IL10)	increases	p(HGNC:TREM2)				
9bdf30ec-25d0-47f0-9c2e-47ee074fe0a9	0.95	19625651	IL-10 effectively suppressed the increase in TREM-2 primary transcripts (XREF_FIG), indicating that IL-10 inhibited TREM-2 gene transcription.	reach	p(HGNC:IL10)	increases	p(HGNC:TREM2)				
8d276f9c-7f2b-4aae-a68c-3b1dd51f99c0	0.92	19625651	IL-10 effectively suppressed the increase in TREM-2 primary transcripts (XREF_FIG), indicating that IL-10 inhibited TREM-2 gene transcription.	reach	p(HGNC:TREM2)	directlyIncreases	p(HGNC:IL10)				
3203b162-590c-4894-8fa4-6d94a4477f75	0.92	19625651	IL-10 inhibited RANK induced osteoclastogenesis and selectively inhibited calcium signaling downstream of RANK by inhibiting transcription of TREM-2.	reach	p(HGNC:TNFRSF11A)	decreases	p(HGNC:TREM2)				
0d714fa6-f8d6-4046-911a-56f4f9f7b537	0.95	19625651	IL-10 inhibits TREM-2 transcription.	reach	p(HGNC:IL10)	decreases	p(HGNC:TREM2)				
8d276f9c-7f2b-4aae-a68c-3b1dd51f99c0	0.92	19625651	IL-10 inhibits TREM-2 transcription.	reach	p(HGNC:TREM2)	directlyIncreases	p(HGNC:IL10)				
9bdf30ec-25d0-47f0-9c2e-47ee074fe0a9	0.95	19625651	IL-10 suppressed RANK signaling and human osteoclastogenesis in part by inhibiting expression of TREM-2 by a transcriptional mechanism, thereby suppressing TREM-2-mediated costimulation.	reach	p(HGNC:IL10)	increases	p(HGNC:TREM2)				
0d714fa6-f8d6-4046-911a-56f4f9f7b537	0.95	19625651	IL-10 suppressed human osteoclastogenesis in part by downregulating TREM-2 expression and thereby inhibiting costimulation of RANK signaling by attenuating calcium pathways.	reach	p(HGNC:IL10)	decreases	p(HGNC:TREM2)				
dbe89be6-6a99-4b96-a5b3-7d5db0be51f0	0.65	19625651	In addition, lentiviral expression of TREM-2 reversed IL-10-mediated inhibition of NFATc1 expression (XREF_FIG).	reach	p(HGNC:TREM2)	increases	p(HGNC:NFATC1)				
9bdf30ec-25d0-47f0-9c2e-47ee074fe0a9	0.95	19625651	In conclusion, we have found that IL-10 inhibits the development of human osteoclast precursors by suppressing the transcription of the costimulatory receptor TREM-2.	reach	p(HGNC:IL10)	increases	p(HGNC:TREM2)				
0d714fa6-f8d6-4046-911a-56f4f9f7b537	0.95	19625651	In the murine system, IL-10 inhibited the late phase of TREM-2 expression, but had minimal effects at earlier time points (XREF_FIG).	reach	p(HGNC:IL10)	decreases	p(HGNC:TREM2)				
d814fe64-9aee-41b9-ac5c-6d358fd2032f	0.65	19625651	Ligands for TREM-2, SIRPbeta1, OSCAR and PIR-A are not known, although semaphorin 6D may activate TREM-2 indirectly via the Plexin A1 coreceptor.	reach	p(IP:IPR027231)	increases	act(p(HGNC:TREM2))				
9b1f1270-a7d1-423b-b9c9-f3c84b802ef7	0.88	19625651	Ligands for TREM-2, SIRPβ1, OSCAR and PIR-A are not known, although semaphorin 6D may activate TREM-2 indirectly via the Plexin A1 coreceptor ( xref ).	sparser	p(HGNC:SEMA6D)	increases	act(p(HGNC:TREM2))				
9bdf30ec-25d0-47f0-9c2e-47ee074fe0a9	0.95	19625651	Overall, these results suggest that IL-10 suppresses the generation of human pOCs at least in part by inhibiting TREM-2 expression.	reach	p(HGNC:IL10)	increases	p(HGNC:TREM2)				
36931221-6811-41be-85db-2d25a5bee8c7	0.65	19625651	RANKL induced ERK activation was also inhibited by the Syk kinase inhibitor piceatannol that inhibits proximal TREM-2 signaling (XREF_FIG).	reach	p(FPLX:ERK)	increases	act(p(HGNC:TREM2))				
bf7feae3-a536-4545-8e21-503ca7ad336c	0.86	19625651	RANKL induced ERK activation was also inhibited by the Syk kinase inhibitor piceatannol that inhibits proximal TREM-2 signaling (XREF_FIG).	reach	p(FPLX:ERK)	decreases	act(p(HGNC:TREM2))				
0d714fa6-f8d6-4046-911a-56f4f9f7b537	0.95	19625651	TREM-2 expression is induced during human pOC formation and suppressed by IL-10.	reach	p(HGNC:IL10)	decreases	p(HGNC:TREM2)				
c4ec4076-b547-45a2-b5e0-83a346009b3c	0.65	19625651	The M-CSF-independent expression of TREM-2 was broadly suppressed by well known inhibitors of osteoclastogeneis, as IFN-gamma and IFN-alpha also suppressed TREM-2 expression (XREF_FIG).	reach	p(FPLX:IFNA)	decreases	p(HGNC:TREM2)				
f063d06d-abe4-4099-8e94-b0a03b89d408	0.92	19625651	The M-CSF-independent expression of TREM-2 was broadly suppressed by well known inhibitors of osteoclastogeneis, as IFN-gamma and IFN-alpha also suppressed TREM-2 expression (XREF_FIG).	reach	p(HGNC:IFNG)	decreases	p(HGNC:TREM2)				
0d714fa6-f8d6-4046-911a-56f4f9f7b537	0.95	19625651	We took several approaches to substantiate a role for inhibition of TREM-2 expression by IL-10 in mediating the effects of IL-10 on RANK signaling and osteoclastogenesis.	reach	p(HGNC:IL10)	decreases	p(HGNC:TREM2)				
cd06e6dd-423c-4e1a-841f-308e56a311c3	0.92	19698700	Moreover, CpG-KSK13 effectively inhibited NFATc1 activity, but not NF-kappaB or AP-1 activity, and decreased TREM-2 promoter activity and subsequent surface expression of the TREM-2 protein induced by M-CSF and RANKL.	reach	p(HGNC:CSF1)	increases	act(p(HGNC:TREM2))				
ef887a8e-a3fe-4a26-9164-a1c721082ec4	0.65	19698700	Moreover, CpG-KSK13 effectively inhibited NFATc1 activity, but not NF-kappaB or AP-1 activity, and decreased TREM-2 promoter activity and subsequent surface expression of the TREM-2 protein induced by M-CSF and RANKL.	reach	p(HGNC:TNFSF11)	increases	act(p(HGNC:TREM2))				
13928b42-ad33-402f-a6a1-6ea1a7c4b886	0.86	19890054	As expected, the TLR2 ligand Pam3Cys did not induce expression of IFN inducible genes MX1 and IRF7, a sensitive measure of endogenous type I IFN production, but strongly suppressed RANK and TREM2 expression in the same experiment (XREF_FIG).	reach	p(HGNC:TLR2)	decreases	p(HGNC:TREM2)				
